NMS: 33333
CMTS: pl-crw01a-br06
Interfejsy: C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/0, C7/0/1, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7
Data: 27.04.2026, 10:18:06

MAC               IP               Interfejs        Status  dBmV
342c.c452.4515    10.219.235.76    C1/0/0/UB        1       0.00
b4f2.6739.5ed6    10.219.242.105   C1/0/0/UB        1       -0.50
84e0.5882.3771    10.219.229.183   C1/0/0/UB        1       -0.50
3843.7dd6.33c5    10.219.227.175   C1/0/0/UB        1       1.00
ac22.0543.f5cd    10.236.145.96    C1/0/0/UB        1       !-1.50
c4eb.42da.b7c0    10.219.249.137   C1/0/0/UB        1       0.00
20b8.2b13.ffa3    10.236.138.62    C1/0/0/UB        1       0.00
2cec.f705.6c94    10.236.151.81    C1/0/0/UB        1       0.00
6802.b804.8fae    10.236.133.6     C1/0/0/UB        1       0.50
2ca1.7d84.b28b    10.245.30.41     C1/0/0/UB        1       !-2.50
905c.44be.ede5    10.236.149.149   C1/0/0/UB        1       -0.50
2ca1.7d80.473b    10.236.158.149   C1/0/0/UB        1       -0.50
ac22.05c0.2e4a    10.219.235.195   C1/0/0/UB        1       0.00
2ca1.7d07.f77c    10.236.149.148   C1/0/0/UB        1       -0.50
342c.c4bb.cd37    10.219.230.0     C1/0/0/UB        1       -0.50
20b8.2b14.49e0    10.236.137.69    C1/0/0/UB        1       0.00
5c7b.5c17.f3c1    10.236.155.212   C1/0/0/UB        1       0.00
342c.c4ee.75c0    10.219.238.65    C1/0/0/UB        1       -0.50
acf8.cc7a.5bdc    10.236.151.102   C1/0/0/UB        1       0.00
342c.c4b1.15c3    10.219.231.116   C1/0/0/UB        1       0.00
2cec.f704.8018    10.236.154.186   C1/0/0/UB        1       0.00
acf8.ccaa.66b5    10.236.149.69    C1/0/0/UB        1       0.00
446a.b7f7.e57c    10.236.140.109   C1/0/0/UB        1       0.00
9839.106d.6341    10.219.239.145   C1/0/0/UB        1       0.00
ac22.05b9.5509    10.219.238.153   C1/0/0/U4        0       1465
f834.5a76.3d86    10.236.136.225   C1/0/0/UB        1       0.00
3843.7d0c.784b    10.245.30.242    C1/0/0/UB        1       0.50
6412.69bd.0948    10.236.152.231   C1/0/0/UB        1       -0.50
fc8e.7e1e.6f5f    10.236.132.98    C1/0/0/U0        0       1431
e882.5b1c.8b55    10.236.144.16    C1/0/0/UB        1       -0.50
5c7b.5c48.0cc0    10.219.233.178   C1/0/0/UB        1       0.00
a0c5.626b.3304    10.236.130.141   C1/0/0/UB        1       -0.50
b49d.fdb8.3bea    10.219.227.25    C1/0/0/UB        1       0.00
2ca1.7d9a.b60b    10.236.139.186   C1/0/0/UB        1       0.50
342c.c4bc.a07b    10.219.224.94    C1/0/0/UB        1       0.00
905c.44bf.dde5    10.236.138.32    C1/0/0/UB        1       0.50
2cec.f712.eac0    10.219.237.92    C1/0/0/UB        1       0.00
3843.7da1.9c03    10.219.243.19    C1/0/0/UB        1       0.00
1834.afd7.6bf7    10.236.142.125   C1/0/0/UB        1       0.00
64fd.964f.aa04    10.219.248.242   C1/0/0/UB        1       0.00
b4f2.6723.d91e    10.219.227.3     C1/0/0/UB        1       0.50
905c.4492.12c7    10.236.152.236   C1/0/0/UB        1       0.00
ac22.0512.ed8f    10.219.255.130   C1/0/0/UB        1       0.00
b4f2.6723.711a    10.219.227.57    C1/0/0/U3        0       1500
6802.b87f.f98c    10.219.245.204   C1/0/0/p         1       -1.00
3843.7db4.6806    10.219.250.47    C1/0/0/UB        1       -0.50
7c26.34cd.b5b6    10.236.133.168   C1/0/0/UB        1       -0.50
b0b3.6935.dd6b    10.219.243.253   C1/0/0/UB        1       0.00
a0c5.6269.9024    10.219.251.158   C1/0/0/UB        1       -0.50
5c7b.5cc0.572d    10.236.153.136   C1/0/0/UB        1       0.50
b4f2.6723.7cb4    10.219.234.39    C1/0/0/UB        1       -0.50
a0c5.6275.ab4c    10.236.154.137   C1/0/0/UB        1       0.50
5c7b.5c9f.2619    10.219.233.8     C1/0/0/UB        1       0.00
ac22.0545.b116    10.219.237.42    C1/0/0/UB        1       0.00
ac22.056d.54e5    10.219.247.8     C1/0/0/UB        1       -0.50
6802.b880.3805    10.236.131.111   C1/0/0/UB        1       0.00
f879.0aff.3485    10.236.144.135   C1/0/0/UB        1       0.00
2ca1.7d87.4603    10.236.140.161   C1/0/0/UB        1       -1.00
ac22.0504.e440    10.219.231.133   C1/0/0/UB        1       0.00
2ca1.7d91.2b2b    10.219.246.159   C1/0/0/UB        1       0.50
2c1d.b8d5.6d21    10.236.145.221   C1/0/0/UB        1       0.00
e882.5ba3.b53d    10.236.140.97    C1/0/0/UB        1       0.00
3843.7db3.0411    10.219.245.17    C1/0/0/UB        1       !-1.50
2ca1.7d7e.5793    10.236.145.59    C1/0/0/UB        1       0.00
2cec.f712.ea0c    10.219.229.106   C1/0/0/UB        1       0.00
c4eb.394f.2f7f    10.219.247.196   C1/0/0/UB        1       0.00
3843.7dcd.9fef    10.219.236.244   C1/0/0/UB        1       0.00
24e4.ce37.6261    10.219.242.155   C1/0/0/UB        1       0.00
b49d.fdb7.eb56    10.219.230.156   C1/0/0/U2        0       1486
2ca1.7d7a.2c63    10.236.130.12    C1/0/0/UB        1       -1.00
ac22.0537.b10f    10.219.230.45    C1/0/0/UB        1       -0.50
342c.c4b1.11a9    10.236.150.176   C1/0/0/UB        1       !-1.00
2ca1.7d82.ea1b    10.236.144.184   C1/0/0/UB        1       -0.50
905c.4493.b124    10.236.128.34    C1/0/0/UB        1       1.00
acf8.cc82.118d    10.236.145.139   C1/0/0/UB        1       0.00
2ca1.7d83.d703    10.236.151.50    C1/0/0/UB        1       -0.50
5c7b.5c43.dfb8    10.236.159.25    C1/0/0/UB        1       0.00
10e1.7777.ba85    10.219.235.95    C1/0/0/UB        1       0.00
342c.c4b0.0af9    10.236.146.216   C1/0/0/UB        1       0.00
2c1d.b8a6.1dc6    10.236.158.122   C1/0/0/UB        1       0.00
b0f5.3071.28d4    10.219.225.44    C1/0/0/UB        1       0.00
acf8.ccad.e3f8    10.236.138.166   C1/0/0/UB        1       0.00
342c.c4d0.9f04    10.236.147.53    C1/0/0/UB        1       -0.50
342c.c4bb.a283    10.219.230.94    C1/0/0/UB        1       -0.50
7c26.34c9.a006    10.219.236.3     C1/0/0/UB        1       !0.00
3843.7d23.7f36    10.236.139.40    C1/0/0/UB        1       -0.50
2c1d.b8d5.1051    10.236.155.96    C1/0/0/UB        1       0.50
2ca1.7d7f.fedb    10.236.131.226   C1/0/0/UB        1       -0.50
3843.7d0a.8b31    10.219.247.14    C1/0/0/UB        1       0.00
6802.b881.7050    10.219.241.229   C1/0/0/UB        1       -0.50
2cec.f706.39e4    10.236.153.134   C1/0/0/UB        1       0.00
2cec.f704.2510    10.236.144.199   C1/0/0/UB        1       0.00
5c7b.5c37.210e    10.219.241.99    C1/0/0/UB        1       0.00
a0c5.6273.cdcc    10.236.156.99    C1/0/0/UB        1       0.00
342c.c46f.4140    10.219.236.179   C1/0/0/UB        1       -0.50
2ca1.7d7e.21bb    10.236.144.47    C1/0/0/UB        1       0.00
e457.40fa.01c5    10.219.242.11    C1/0/0/UB        1       0.00
3843.7db4.0566    10.219.241.127   C1/0/0/UB        1       0.50
2cec.f704.e960    10.236.147.82    C1/0/0/U2        0       1414
2ca1.7d90.1f4b    10.219.248.155   C1/0/0/UB        1       -0.50
6802.b87f.f638    10.219.231.52    C1/0/0/UB        1       -0.50
446a.b7fb.7e74    10.236.145.133   C1/0/0/UB        1       0.50
6802.b8c2.aa20    10.219.234.116   C1/0/0/p         1       !-4.00
24e4.ce8e.c41b    10.236.132.17    C1/0/0/UB        1       0.00
342c.c4ba.ccd8    10.219.247.69    C1/0/0/UB        1       0.50
2cec.f705.41c8    10.236.138.17    C1/0/0/UB        1       0.00
3843.7d50.babd    10.236.139.145   C1/0/0/UB        1       -1.00
446a.b7fb.07ec    10.236.128.129   C1/0/0/UB        1       -0.50
44aa.f5d1.9ecf    10.236.159.111   C1/0/0/UB        1       -1.00
8cc5.b4ea.9594    10.236.132.238   C1/0/0/UB        1       0.50
f834.5a76.35d4    10.236.151.180   C1/0/0/UB        1       0.50
342c.c4d0.7b58    10.219.241.103   C1/0/0/UB        1       -0.50
5c7b.5c24.19fd    10.236.128.62    C1/0/0/UB        1       0.00
2ca1.7d8b.ec6b    10.236.130.228   C1/0/0/UB        1       0.00
2ca1.7d8d.964b    10.236.140.79    C1/0/0/UB        1       0.00
ac22.05fa.d1df    10.236.138.78    C1/0/0/UB        1       -0.50
44aa.f56d.cb5e    10.236.130.36    C1/0/0/UB        1       -0.50
3843.7dd2.2e41    10.236.148.101   C1/0/0/p         1       -0.50
905c.44b6.b355    10.236.152.47    C1/0/0/UB        1       -1.00
a86a.bbcc.78d0    10.219.234.18    C1/0/0/UB        1       0.00
2c1d.b8a7.21b6    10.236.155.11    C1/0/0/UB        1       -1.00
5c7b.5c19.3da9    10.236.130.239   C1/0/0/UB        1       0.00
44aa.f5d0.3737    10.236.152.86    C1/0/0/UB        1       0.00
ac22.050c.d685    10.219.233.245   C1/0/0/UB        1       -0.50
24e4.ce6c.5c47    10.236.157.114   C1/0/0/UB        1       0.50
2ca1.7d95.38db    10.219.253.104   C1/0/0/UB        1       0.50
3843.7d59.66c3    10.236.153.26    C1/0/0/UB        1       -0.50
a0c5.626d.5014    10.219.246.187   C1/0/0/UB        1       !-1.50
342c.c46e.1d6e    10.236.137.225   C1/0/0/UB        1       -0.50
5c7b.5c25.f03d    10.236.149.73    C1/0/0/UB        1       0.00
ac22.05f4.b9d4    10.219.228.130   C1/0/0/UB        1       !-1.00
b4f2.6730.6cd5    10.236.156.8     C1/0/0/UB        1       0.00
2ca1.7d81.7253    10.236.153.6     C1/0/0/UB        1       0.00
8cc5.b4ea.8472    10.236.137.230   C1/0/0/UB        1       0.00
80f5.0397.fe08    10.219.233.253   C1/0/0/U0        0       1439
24e4.ce54.fbaa    10.236.147.60    C1/0/0/UB        1       0.50
5c7b.5c9f.6d59    10.219.242.55    C1/0/0/UB        1       0.00
2ca1.7d93.5623    10.236.154.119   C1/0/0/UB        1       0.00
6802.b804.54bf    10.236.142.93    C1/0/0/UB        1       -1.00
606c.63fa.8ebe    10.219.242.121   C1/0/0/UB        1       0.00
446a.b7f9.101c    10.236.131.64    C1/0/0/UB        1       -1.00
0036.76b4.bfdc    10.219.246.175   C1/0/0/UB        1       0.00
ac22.0537.7314    10.219.242.238   C1/0/0/UB        1       0.00
6412.69bb.3ae8    10.236.137.221   C1/0/0/UB        1       -1.00
905c.4465.d495    10.219.230.32    C1/0/0/UB        1       0.00
5c7b.5c9f.4ab5    10.219.242.190   C1/0/0/UB        1       0.00
2cec.f703.ac2c    10.219.247.54    C1/0/0/UB        1       0.00
6802.b881.1f3e    10.219.251.36    C1/0/0/UB        1       0.00
ac22.050c.3335    10.236.141.66    C1/0/0/UB        1       -0.50
342c.c4ba.fdf8    10.219.231.100   C1/0/0/UB        1       0.00
5467.51b3.2bf4    10.236.152.17    C1/0/0/UB        1       -1.00
ac22.05f4.4723    10.219.229.92    C1/0/0/UB        1       0.50
b0b3.6979.0b97    10.219.248.190   C1/0/0/UB        1       -0.50
dc53.7cb4.918f    10.219.227.209   C1/0/0/UB        1       1.00
e882.5ba2.c505    10.219.234.5     C1/0/0/UB        1       0.50
a0c5.6271.e294    10.236.152.232   C1/0/0/UB        1       0.00
b4f2.6704.e78f    10.219.246.101   C1/0/0/UB        1       -0.50
5c7b.5c9f.de45    10.219.252.42    C1/0/0/UB        1       0.00
0036.76b4.f694    10.236.132.74    C1/0/0/UB        1       0.00
d42c.0fd1.152e    10.236.151.42    C1/0/0/UB        1       0.00
44aa.f56d.0186    10.236.154.148   C1/0/0/UB        1       -0.50
2ca1.7d97.6163    10.236.130.139   C1/0/0/UB        1       -0.50
342c.c442.4418    10.219.224.176   C1/0/0/UB        1       0.00
