NMS: 1235321
CMTS: pl-gdn04a-br03
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/3, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7, C8/0/0, C8/0/1, C8/0/2, C8/0/3, C8/0/4, C8/0/5, C8/0/6, C8/0/7, C9/0/0, C9/0/1, C9/0/2, C9/0/3, C9/0/4, C9/0/5, C9/0/6, C9/0/7
Data: 23.04.2026, 16:10:43

MAC               IP               Interfejs        Status  dBmV
7c26.34cc.edae    10.233.8.155     C1/0/0/UB        1       0.00
2ca1.7d90.430b    10.233.18.80     C1/0/0/UB        1       -1.00
2ca1.7d92.b5ab    10.233.27.125    C1/0/0/UB        1       0.00
bcc8.1068.dc52    10.155.206.253   C1/0/0/UB        1       0.00
647c.3440.5dad    10.155.201.71    C1/0/0/UB        1       0.00
acf8.cc81.cf20    10.233.1.196     C1/0/0/UB        1       0.00
ac22.05d6.1267    10.178.42.177    C1/0/0/UB        1       -0.50
ac22.059f.d3b6    10.233.15.252    C1/0/0/UB        1       -2.50
342c.c450.2087    10.155.194.189   C1/0/0/UB        1       0.00
905c.4491.ca31    10.155.200.39    C1/0/0/UB        1       0.50
905c.44c0.5add    10.155.205.181   C1/0/0/UB        1       0.50
905c.4419.4ff2    10.155.204.132   C1/0/0/UB        1       0.00
3843.7d5b.c9f4    10.233.6.53      C1/0/0/UB        1       -0.50
3843.7d26.14a4    10.155.202.78    C1/0/0/UB        1       -0.50
b4f2.670f.4adb    10.233.31.55     C1/0/0/UB        1       0.00
ac22.05ee.9e4b    10.155.207.145   C1/0/0/UB        1       -0.50
3843.7dae.ae05    10.233.4.66      C1/0/0/UB        1       -0.50
3843.7da1.cf30    10.233.29.245    C1/0/0/UB        1       -0.50
ac22.0545.cbb3    10.233.12.183    C1/0/0/UB        1       -1.00
ac22.0506.cd49    10.155.197.16    C1/0/0/UB        1       -0.50
342c.c4bc.1b25    10.233.26.100    C1/0/0/p         1       -2.50
5467.5188.c981    10.155.204.179   C1/0/0/UB        1       -0.50
905c.44bf.04a1    10.178.33.45     C1/0/0/UB        1       -0.50
5467.51f8.d36e    10.233.2.248     C1/0/0/UB        1       -0.50
5467.511b.cf9b    10.155.203.153   C1/0/0/UB        1       -0.50
4458.29c6.5fcc    10.155.207.18    C1/0/0/UB        1       -1.00
3843.7d04.788f    10.155.203.76    C1/0/0/UB        1       1.00
5467.51f1.7a41    10.233.31.1      C1/0/0/UB        1       0.00
342c.c4b0.a39f    10.155.207.45    C1/0/0/UB        1       -0.50
6802.b8e7.2bf5    10.233.10.21     C1/0/0/UB        1       -0.50
6802.b8cd.e570    10.233.27.233    C1/0/0/UB        1       -0.50
3843.7da1.9162    10.155.193.196   C1/0/0/UB        1       0.50
3843.7dd4.cf7c    10.155.207.143   C1/0/0/UB        1       -0.50
342c.c499.df13    10.155.210.99    C1/0/0/UB        1       0.50
ac22.0538.d5ce    10.155.192.108   C1/0/0/UB        1       -0.50
ac22.0511.1242    10.155.200.243   C1/0/0/UB        1       0.50
342c.c4e3.911d    10.155.216.227   C1/0/0/UB        1       0.00
3843.7df9.cd06    10.155.204.23    C1/0/0/UB        1       1.00
ac22.0569.3de2    10.233.6.184     C1/0/0/UB        1       -0.50
b4f2.670f.4fa9    10.155.193.113   C1/0/0/UB        1       -1.00
