NMS: 561242
CMTS: pl-waw18a-br02
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7
Data: 24.04.2026, 11:42:03

MAC               IP               Interfejs        Status  dBmV
88f7.c759.fcb3    10.161.49.138    C2/0/0/UB        1       0.50
ac22.050d.a22b    10.161.63.62     C2/0/0/UB        1       -0.50
1834.afd6.5d58    10.161.42.39     C2/0/0/UB        1       0.00
8c04.ffa2.85e6    10.161.36.38     C2/0/0/UB        1       0.00
88f7.c758.d64e    10.161.57.73     C2/0/0/UB        1       !-2.50
2c1d.b8d6.e541    10.161.60.198    C2/0/0/UB        1       0.50
6802.b87b.8f01    10.204.33.110    C2/0/0/UB        1       -0.50
b4f2.670f.4c70    10.161.57.57     C2/0/0/UB        1       0.50
6802.b881.82c2    10.161.50.162    C2/0/0/UB        1       0.00
e457.40d9.912f    10.161.32.237    C2/0/0/UB        1       0.50
e882.5b19.455d    10.204.32.49     C2/0/0/UB        1       -0.50
4432.c8bd.25e0    10.161.63.225    C2/0/0/UB        1       -1.00
b0b3.6935.941b    10.161.34.35     C2/0/0/UB        1       0.00
3843.7d50.3d6b    10.161.60.5      C2/0/0/UB        1       -1.00
b0b3.6935.a2af    10.161.57.75     C2/0/0/UB        1       0.00
5467.5132.ed69    10.204.37.144    C2/0/0/UB        1       -1.00
4432.c8b2.bb19    10.161.55.81     C2/0/0/UB        1       -1.00
7c26.34ca.bf96    10.161.39.70     C2/0/0/UB        1       0.00
c427.9525.79d8    10.204.63.85     C2/0/0/UB        1       0.00
44aa.f50d.6e88    10.204.63.164    C2/0/0/UB        1       0.00
3843.7d5c.05ca    10.204.62.197    C2/0/0/UB        1       0.00
446a.b7f7.a0ac    10.161.46.212    C2/0/0/UB        1       0.50
6412.69bc.0aa8    10.204.50.171    C2/0/0/UB        1       0.00
342c.c456.7dc3    10.204.44.190    C2/0/0/UB        1       0.00
342c.c454.b9bf    10.204.54.180    C2/0/0/UB        1       0.00
5467.51f7.89ec    10.161.37.247    C2/0/0/UB        1       -0.50
a0c5.6274.bdac    10.161.50.82     C2/0/0/UB        1       -0.50
5c7b.5ca0.02b1    10.204.44.232    C2/0/0/UB        1       0.00
5467.51ac.5487    10.204.33.245    C2/0/0/UB        1       0.00
3843.7dd0.2a5c    10.161.54.148    C2/0/0/UB        1       -0.50
ac22.05bf.d77a    10.204.47.150    C2/0/0/UB        1       -0.50
ac22.0537.8e6e    10.161.32.153    C2/0/0/UB        1       -0.50
4432.c879.d8ee    10.161.55.162    C2/0/0/UB        1       -0.50
2ca1.7d06.fdac    10.161.60.131    C2/0/0/UB        1       0.00
3843.7d50.da04    10.204.39.40     C2/0/0/UB        1       -0.50
342c.c499.e2a0    10.204.35.181    C2/0/0/UB        1       0.00
2ca1.7d82.3303    10.204.45.137    C2/0/0/UB        1       0.50
3843.7dd1.ba0a    10.204.35.48     C2/0/0/UB        1       -0.50
44aa.f50d.d1d0    10.204.43.115    C2/0/0/UB        1       0.50
e882.5ba2.ede5    10.161.56.55     C2/0/0/UB        1       0.00
a0c5.6268.0bec    10.204.49.45     C2/0/0/UB        1       -0.50
c4eb.3950.906c    10.204.38.86     C2/0/0/UB        1       0.00
64fd.964f.f73c    10.161.45.116    C2/0/0/UB        1       0.00
b0b3.6936.20df    10.161.45.253    C2/0/0/UB        1       0.50
e882.5ba6.7645    10.247.140.176   C2/0/0/UB        1       -1.00
a0c5.6269.aba4    10.204.59.123    C2/0/0/UB        1       0.00
5c7b.5ce5.d2c0    10.161.41.94     C2/0/0/UB        1       0.00
5c7b.5c6f.5698    10.204.40.84     C2/0/0/UB        1       0.00
2ca1.7d7d.badb    10.161.51.8      C2/0/0/UB        1       0.00
1834.afa6.a497    10.161.40.124    C2/0/0/UB        1       0.00
5467.51b2.f4ad    10.204.59.65     C2/0/0/UB        1       1.00
6412.69ea.1cd1    10.161.52.25     C2/0/0/UB        1       0.00
44aa.f50e.1e60    10.161.50.104    C2/0/0/UB        1       0.00
5467.51ee.af75    10.204.37.6      C2/0/0/UB        1       0.00
5c7b.5c46.aff4    10.161.44.235    C2/0/0/UB        1       0.00
9839.106c.c670    10.247.138.3     C2/0/0/UB        1       0.00
342c.c4bb.679a    10.204.38.50     C2/0/0/UB        1       -0.50
c4eb.3950.1e5f    10.204.52.80     C2/0/0/UB        1       0.00
5c7b.5c18.7fd1    10.161.37.52     C2/0/0/UB        1       0.00
5823.8ca7.f626    10.204.58.47     C2/0/0/UB        1       0.00
342c.c4bc.d855    10.204.46.151    C2/0/0/UB        1       0.50
5467.51f8.30a5    10.204.54.7      C2/0/0/UB        1       0.50
0895.2ad4.0ca3    10.161.54.68     C2/0/0/UB        1       0.00
2ca1.7d8b.b3f3    10.161.41.243    C2/0/0/UB        1       -0.50
ac22.0538.f407    10.204.35.235    C2/0/0/UB        1       -0.50
3843.7d28.c179    10.161.48.26     C2/0/0/UB        1       -0.50
2ca1.7d85.939b    10.161.52.206    C2/0/0/UB        1       0.00
fc52.8d16.a69c    10.161.32.164    C2/0/0/UB        1       1.00
2ca1.7d77.7393    10.161.36.150    C2/0/0/UB        1       -0.50
2ca1.7d7a.4553    10.161.42.200    C2/0/0/UB        1       -1.00
2ca1.7d89.7a73    10.161.61.42     C2/0/0/UB        1       0.50
b4f2.6739.b41d    10.161.50.5      C2/0/0/UB        1       0.50
1834.afdc.089a    10.161.55.57     C2/0/0/UB        1       0.00
2ca1.7d95.1c93    10.204.49.107    C2/0/0/UB        1       -0.50
ac22.0545.7cb7    10.204.60.87     C2/0/0/UB        1       0.50
5c7b.5c38.bd16    10.161.39.112    C2/0/0/UB        1       0.00
342c.c4bc.7d59    10.161.37.68     C2/0/0/UB        1       -0.50
e882.5b1d.322d    10.161.48.95     C2/0/0/UB        1       0.00
ac22.053c.494b    10.204.36.229    C2/0/0/UB        1       -0.50
e457.40b0.5ed9    10.204.41.116    C2/0/0/UB        1       0.00
342c.c499.d6b2    10.204.62.71     C2/0/0/UB        1       0.50
2ca1.7d89.f5cb    10.204.43.112    C2/0/0/UB        1       0.00
2ca1.7d7d.f2db    10.161.50.142    C2/0/0/UB        1       -0.50
5467.51d1.31d6    10.204.57.241    C2/0/0/UB        1       !-1.00
5c7b.5cc0.341d    10.161.61.247    C2/0/0/UB        1       0.00
3843.7d54.9b69    10.204.52.183    C2/0/0/UB        1       -0.50
5c7b.5c37.5876    10.161.43.161    C2/0/0/UB        1       0.00
ac22.0572.7499    10.204.55.190    C2/0/0/UB        1       -1.00
acf8.ccc3.add2    10.204.41.95     C2/0/0/p         1       0.00
3843.7d23.25db    10.204.47.126    C2/0/0/UB        1       -0.50
ac22.05f3.c047    10.161.37.225    C2/0/0/UB        1       0.00
5c7b.5c21.b86d    10.161.55.249    C2/0/0/UB        1       0.00
1834.afa5.3ecc    10.247.137.21    C2/0/0/UB        1       0.00
5c7b.5cbf.f055    10.161.34.13     C2/0/0/UB        1       0.50
7c26.34cb.2c26    10.161.62.114    C2/0/0/UB        1       0.00
5467.5134.4336    10.204.55.64     C2/0/0/UB        1       0.00
6412.69be.0410    10.161.59.113    C2/0/0/UB        1       0.50
5467.51f5.402f    10.204.35.157    C2/0/0/UB        1       -0.50
0036.766d.0b76    10.161.57.141    C2/0/0/UB        1       0.50
342c.c460.3745    10.161.53.36     C2/0/0/UB        1       -0.50
2ca1.7d04.45f4    10.161.62.191    C2/0/0/UB        1       -0.50
44aa.f50e.4428    10.204.53.114    C2/0/0/UB        1       0.50
446a.b7fa.ccd4    10.161.40.185    C2/0/0/UB        1       -0.50
ac22.0597.0050    10.204.47.8      C2/0/0/UB        1       -0.50
cc35.40e4.122c    10.161.39.119    C2/0/0/UB        1       !-2.00
2c1d.b8d6.eb11    10.161.63.31     C2/0/0/UB        1       0.00
6802.b8e6.d67b    10.204.45.118    C2/0/0/UB        1       -1.00
3843.7df9.ed3d    10.204.32.9      C2/0/0/UB        1       -0.50
e882.5ba2.2d9d    10.161.53.73     C2/0/0/UB        1       0.00
2c1d.b8d7.2959    10.161.43.31     C2/0/0/UB        1       -0.50
3843.7ddc.bc66    10.247.139.239   C2/0/0/UB        1       !-1.00
ac22.0571.4323    10.247.133.246   C2/0/0/UB        1       -0.50
5467.5114.8f40    10.204.36.119    C2/0/0/UB        1       0.50
342c.c44f.2c9a    10.204.39.113    C2/0/0/UB        1       0.00
e882.5b19.63f5    10.161.42.125    C2/0/0/UB        1       -1.00
1834.afa4.e092    10.204.40.65     C2/0/0/UB        1       0.00
2ca1.7d08.2f34    10.161.45.10     C2/0/0/UB        1       -0.50
905c.4438.3968    10.161.61.243    C2/0/0/UB        1       -0.50
2ca1.7d7c.5403    10.204.48.153    C2/0/0/UB        1       0.00
ac22.05d6.15a0    10.204.34.161    C2/0/0/UB        1       0.00
6802.b880.e3ef    10.161.36.42     C2/0/0/UB        1       0.00
3843.7d57.735e    10.204.46.108    C2/0/0/UB        1       -0.50
2ca1.7d8a.6bfb    10.161.38.73     C2/0/0/UB        1       0.00
5467.51d5.aed0    10.161.35.251    C2/0/0/UB        1       0.50
acf8.ccad.d755    10.204.41.70     C2/0/0/UB        1       0.00
ac22.053f.5263    10.161.42.24     C2/0/0/UB        1       -1.00
